"Päivitetty","Osio","Kategoria","Nimi","URL","Lähde","Tarkistus","HTTP","Turvallisuus","Lopullinen URL","Alkuperäinen domain","Lopullinen domain","Domain vaihtui","RDAP-signaali","Sisältösignaali","Sivun otsikko","Riskipisteet","Suositus","Manuaalinen tila","Luottamustaso","Huomiot"
"12.6.2026 klo 17.30","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 90","https://www.hel.fi/fi/sosiaali-ja-terveyspalvelut","localServices.ts","ok","200","ok","https://www.hel.fi/fi/sosiaali-ja-terveyspalvelut","hel.fi","hel.fi","ei","RDAP 429","huomio","Sosiaali- ja terveyspalvelut | Helsingin kaupunki","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 90","https://www.hel.fi/fi/uutiset","localServices.ts","ok","200","ok","https://www.hel.fi/fi/uutiset","hel.fi","hel.fi","ei","RDAP 429","huomio","Ajankohtaista | Helsingin kaupunki","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Hyvinvointialueet","Hyvinvointialue","Hyvinvointialue 91","https://www.aland.ax/sv","localServices.ts","ok","206","ok","https://www.aland.ax/sv","aland.ax","aland.ax","ei","RDAP 429","huomio","Startsida | Åland.ax","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","helsinki (en)","https://www.hel.fi/en/frontpage","municipalityWebsiteLocales.ts","ok","200","ok","https://www.hel.fi/en","hel.fi","hel.fi","ei","RDAP 429","huomio","Frontpage | City of Helsinki","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","juuka (en)","https://www.juuka.fi/en/web/english","municipalityWebsiteLocales.ts","ok","200","ok","https://www.juuka.fi/en/web/english","juuka.fi","juuka.fi","ei","RDAP 429","huomio","","35","tarkista","","","HTML-sivulta ei löytynyt otsikkoa; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","kemiönsaari (en)","https://en.kimitoon.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://en.kimitoon.fi/","kimitoon.fi","kimitoon.fi","ei","RDAP 429","huomio","Kimitoön","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","kouvola (en)","https://www.kouvola.fi/en/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kouvola.fi/en/","kouvola.fi","kouvola.fi","ei","RDAP 429","huomio","Living in Kouvola - The City of Kouvola","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","kristiinankaupunki (en)","https://www.kristinestad.fi/start/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kristinestad.fi/start/","kristinestad.fi","kristinestad.fi","ei","RDAP 429","huomio","Start &raquo; Kristinestad in English","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","kustavi (en)","https://kustavi.fi/en/","municipalityWebsiteLocales.ts","ok","200","ok","https://kustavi.fi/en/","kustavi.fi","kustavi.fi","ei","RDAP 429","huomio","","35","tarkista","","","HTML-sivulta ei löytynyt otsikkoa; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","luoto (en)","https://larsmo.fi/en/frontpage/","municipalityWebsiteLocales.ts","ok","200","ok","https://larsmo.fi/en/frontpage/","larsmo.fi","larsmo.fi","ei","RDAP 429","huomio","Frontpage &#187; Larsmo","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","maalahti (en)","https://www.malax.fi/en/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.malax.fi/en/","malax.fi","malax.fi","ei","RDAP 429","huomio","Malax, the place to be! &raquo; Maalahden kunta","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","naantali (en)","https://www.naantali.fi/en","municipalityWebsiteLocales.ts","ok","200","ok","https://www.naantali.fi/en","naantali.fi","naantali.fi","ei","RDAP 429","huomio","Naantali.fi","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","outokumpu (en)","https://www.outokummunkaupunki.fi/in-english/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.outokummunkaupunki.fi/in-english/","outokummunkaupunki.fi","outokummunkaupunki.fi","ei","RDAP 429","huomio","In English - Outokummun kaupunki","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","rantasalmi (en)","https://www.rantasalmi.fi/en/","municipalityWebsiteLocales.ts","huomio","404","ok","https://rantasalmi.fi/en/","rantasalmi.fi","rantasalmi.fi","ei","RDAP 429","ei tarkistettu","","70","piilota","","","HTTP 404; HTTP 404"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","rovaniemi (en)","https://international.rovaniemi.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://international.rovaniemi.fi/","rovaniemi.fi","rovaniemi.fi","ei","RDAP 429","huomio","Rovaniemi - Arctic Capital - Rovaniemi - Arctic Capital","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","ruovesi (en)","https://www.ruovesi.fi/tourists/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.ruovesi.fi/for-tourists","ruovesi.fi","ruovesi.fi","ei","RDAP 429","huomio","For Tourists - 

 
Ruoveden kunta","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","salo (en)","https://salo.fi/en/","municipalityWebsiteLocales.ts","ok","200","ok","https://salo.fi/en/","salo.fi","salo.fi","ei","RDAP 429","huomio","Front page - Salo","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","savonlinna (en)","https://www.savonlinna.fi/en/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.savonlinna.fi/en/","savonlinna.fi","savonlinna.fi","ei","RDAP 429","huomio","Welcome to Savonlinna - Savonlinna","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","siilinjärvi (en)","https://siilinjarvi.fi/en/","municipalityWebsiteLocales.ts","ok","200","ok","https://siilinjarvi.fi/en/","siilinjarvi.fi","siilinjarvi.fi","ei","RDAP 429","huomio","Frontpage - Siilinjärven kunnan verkkosivut","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","en","tyrnävä (en)","https://www.tyrnava.fi/en/home.html","municipalityWebsiteLocales.ts","ok","200","ok","https://account.lianacloud.com/?iss=https%3A%2F%2Fauth.lianacloud.com%2F","tyrnava.fi","lianacloud.com","kyllä","RDAP 429","huomio","LianaAccount","85","piilota","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Domain vaihtui: tyrnava.fi -> lianacloud.com; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","et","helsinki (et)","https://www.hel.fi/et","municipalityWebsiteLocales.ts","ok","200","ok","https://www.hel.fi/et","hel.fi","hel.fi","ei","RDAP 429","huomio","Helsingis on hea elada | City of Helsinki","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","ru","helsinki (ru)","https://www.hel.fi/ru","municipalityWebsiteLocales.ts","ok","200","ok","https://www.hel.fi/ru","hel.fi","hel.fi","ei","RDAP 429","huomio","Хорошо жить в Хельсинки | City of Helsinki","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","ru","juuka (ru)","https://www.juuka.fi/ru/web/russian","municipalityWebsiteLocales.ts","ok","200","ok","https://www.juuka.fi/ru/web/russian","juuka.fi","juuka.fi","ei","RDAP 429","huomio","","35","tarkista","","","HTML-sivulta ei löytynyt otsikkoa; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","ru","kitee (ru)","https://www.kitee.fi/ru/web/rus","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kitee.fi/ru/web/rus","kitee.fi","kitee.fi","ei","RDAP 429","huomio","Главная - Rus","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","ru","tohmajärvi (ru)","https://www.tohmajarvi.fi/ru/web/russia","municipalityWebsiteLocales.ts","ok","200","ok","https://www.tohmajarvi.fi/ru/web/russia","tohmajarvi.fi","tohmajarvi.fi","ei","RDAP 429","huomio","Дома - russia","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","finström (sv)","https://www.finstrom.ax/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.finstrom.ax/","finstrom.ax","finstrom.ax","ei","RDAP 429","huomio","429 Too Many Requests","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","föglö (sv)","https://www.foglo.ax/","municipalityWebsiteLocales.ts","huomio","429","ok","https://www.foglo.ax/","foglo.ax","foglo.ax","ei","RDAP 429","ei tarkistettu","","30","tarkista","","","HTTP 429; HTTP 429"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","kauniainen (sv)","https://www.kauniainen.fi/sv/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kauniainen.fi/sv/","kauniainen.fi","kauniainen.fi","ei","RDAP 429","huomio","Grankulla stads hemsida - Kauniaisten kaupunki – Grankulla stad","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","kemiönsaari (sv)","https://www.kimitoon.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kimitoon.fi/","kimitoon.fi","kimitoon.fi","ei","RDAP 429","huomio","Kimitoöns kommun","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","kristiinankaupunki (sv)","https://www.kristinestad.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kristinestad.fi/","kristinestad.fi","kristinestad.fi","ei","RDAP 429","huomio","Kristinestads stad &raquo; Kristinestad","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","kruunupyy (sv)","https://www.kronoby.fi/sv","municipalityWebsiteLocales.ts","ok","200","ok","https://www.kronoby.fi/sv","kronoby.fi","kronoby.fi","ei","RDAP 429","huomio","Kronoby kommun - Home","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","lapinjärvi (sv)","https://lapinjarvi.fi/sv/","municipalityWebsiteLocales.ts","ok","200","ok","https://lapinjarvi.fi/sv/","lapinjarvi.fi","lapinjarvi.fi","ei","RDAP 429","huomio","Framsida - Lappträsk","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","luoto (sv)","https://larsmo.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://larsmo.fi/","larsmo.fi","larsmo.fi","ei","RDAP 429","huomio","Hemsida &#187; Larsmo Larsmo","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","maalahti (sv)","https://www.malax.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.malax.fi/","malax.fi","malax.fi","ei","RDAP 429","huomio","Malax ligger rätt! &raquo; Malax kommun","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","maarianhamina (sv)","https://www.mariehamn.ax/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.mariehamn.ax/","mariehamn.ax","mariehamn.ax","ei","RDAP 429","huomio","Startsida | Mariehamns stad","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","parainen (sv)","https://www.pargas.fi/sv","municipalityWebsiteLocales.ts","ok","200","ok","https://www.pargas.fi/sv/framsida","pargas.fi","pargas.fi","ei","RDAP 429","huomio","Förstasidan - Pargas - Pargas -portal","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","pedersören kunta (sv)","https://www.pedersore.fi/sv/soek/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.pedersore.fi/sv/soek/","pedersore.fi","pedersore.fi","ei","RDAP 429","huomio","Pedersöre kommun - Sök","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","pietarsaari (sv)","https://jakobstad.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://jakobstad.fi/","jakobstad.fi","jakobstad.fi","ei","RDAP 429","huomio","Hemsida - Jakobstad","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","raasepori (sv)","https://www.raseborg.fi/skolor/karis-svenska-hogstadium/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.raseborg.fi/skolor/karis-svenska-hogstadium/","raseborg.fi","raseborg.fi","ei","RDAP 429","huomio","Karis svenska högstadium - Raseborg","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","siuntio (sv)","https://www.siuntio.fi/sv/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.siuntio.fi/sv/","siuntio.fi","siuntio.fi","ei","RDAP 429","huomio","Sjundeå kommun","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","sv","uusikaarlepyy (sv)","https://www.nykarleby.fi/","municipalityWebsiteLocales.ts","ok","200","ok","https://www.nykarleby.fi/","nykarleby.fi","nykarleby.fi","ei","RDAP 429","huomio","Hem &raquo; Nykarleby stad","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien kieliversiot","uk","helsinki (uk)","https://www.hel.fi/uk","municipalityWebsiteLocales.ts","ok","200","ok","https://www.hel.fi/uk","hel.fi","hel.fi","ei","RDAP 429","huomio","Комфортне та цікаве життя в Гельсінкі | City of Helsinki","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","eurajoki","https://www.eurajoki.fi/","municipalityWebsites.ts","huomio","403","ok","https://www.eurajoki.fi/","eurajoki.fi","eurajoki.fi","ei","RDAP 429","ei tarkistettu","","30","tarkista","","","HTTP 403; HTTP 403"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","finström","https://www.finstrom.ax/","municipalityWebsites.ts","ok","200","ok","https://www.finstrom.ax/","finstrom.ax","finstrom.ax","ei","RDAP 429","huomio","429 Too Many Requests","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","föglö","https://www.foglo.ax/","municipalityWebsites.ts","huomio","429","ok","https://www.foglo.ax/","foglo.ax","foglo.ax","ei","RDAP 429","ei tarkistettu","","30","tarkista","","","HTTP 429; HTTP 429"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","haapavesi","https://haapavesi.fi/","municipalityWebsites.ts","virhe","","ok","","haapavesi.fi","haapavesi.fi","ei","RDAP 429","ei tarkistettu","","80","piilota","","","fetch failed; HTTP-tarkistus epäonnistui"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","harjavalta","https://www.harjavalta.fi/","municipalityWebsites.ts","ok","200","ok","https://www.harjavalta.fi/","harjavalta.fi","harjavalta.fi","ei","RDAP 429","huomio","Etusivu - Harjavallan kaupunki","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","hausjärvi","https://www.hausjarvi.fi/","municipalityWebsites.ts","huomio","500","ok","https://www.hausjarvi.fi/","hausjarvi.fi","hausjarvi.fi","ei","RDAP 429","ei tarkistettu","","60","piilota","","","HTTP 500; HTTP 500"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","inkoo","https://www.inga.fi/","municipalityWebsites.ts","ok","200","ok","https://www.inga.fi/","inga.fi","inga.fi","ei","RDAP 429","huomio","Ingå","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","kemiönsaari","https://en.kimitoon.fi/","municipalityWebsites.ts","ok","200","ok","https://en.kimitoon.fi/","kimitoon.fi","kimitoon.fi","ei","RDAP 429","huomio","Kimitoön","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","kerava","https://www.kerava.fi","municipalityWebsites.ts","huomio","500","ok","https://www.kerava.fi/","kerava.fi","kerava.fi","ei","RDAP 429","ei tarkistettu","","60","piilota","","","HTTP 500; HTTP 500"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","kristiinankaupunki","https://www.kristinestad.fi/","municipalityWebsites.ts","ok","200","ok","https://www.kristinestad.fi/","kristinestad.fi","kristinestad.fi","ei","RDAP 429","huomio","Kristinestads stad &raquo; Kristinestad","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","kruunupyy","https://www.kronoby.fi/","municipalityWebsites.ts","ok","200","ok","https://www.kronoby.fi/","kronoby.fi","kronoby.fi","ei","RDAP 429","huomio","Kronoby kommun - Home","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","kuhmoinen","https://www.kuhmoinen.fi/","municipalityWebsites.ts","ok","200","ok","https://www.kuhmoinen.fi/","kuhmoinen.fi","kuhmoinen.fi","ei","RDAP 429","huomio","This site requires javascript","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","kuusamo","https://www.kuusamo.fi/","municipalityWebsites.ts","huomio","500","ok","https://www.kuusamo.fi/","kuusamo.fi","kuusamo.fi","ei","RDAP 429","ei tarkistettu","","60","piilota","","","HTTP 500; HTTP 500"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","loppi","https://www.loppi.fi/","municipalityWebsites.ts","huomio","500","ok","https://www.loppi.fi/","loppi.fi","loppi.fi","ei","RDAP 429","ei tarkistettu","","60","piilota","","","HTTP 500; HTTP 500"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","luhanka","https://www.luhanka.fi/","municipalityWebsites.ts","ok","200","ok","https://www.luhanka.fi/","luhanka.fi","luhanka.fi","ei","RDAP 429","huomio","Luhanka &#8211; Luhangan kunta","35","tarkista","","","Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","luoto","https://larsmo.fi/","municipalityWebsites.ts","ok","200","ok","https://larsmo.fi/","larsmo.fi","larsmo.fi","ei","RDAP 429","huomio","Hemsida &#187; Larsmo Larsmo","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
"12.6.2026 klo 17.30","Kuntien verkkosivut","Kunta","maalahti","https://www.malax.fi/","municipalityWebsites.ts","ok","200","ok","https://www.malax.fi/","malax.fi","malax.fi","ei","RDAP 429","huomio","Malax ligger rätt! &raquo; Malax kommun","35","tarkista","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Sisältötarkistus vaatii huomiota"
